process_order,exclude,manual_download,name,designation,source_id_col,source_name_col,forest_restriction,og_restriction,mine_restriction,url,bcgw_layer_name,file_in_url,layer_in_file,query,metadata_url,info_url,preprocess_operation,preprocess_args,notes,license,comments_2019
,T,,National Parks,park_national,NATIONAL_PARK_ID,ENGLISH_NAME,Protected,Protected,Protected,https://catalogue.data.gov.bc.ca/dataset/88e61a14-19a0-46ab-bdae-f68401d3d0fb,WHSE_ADMIN_BOUNDARIES.CLAB_NATIONAL_PARKS,,,,https://catalogue.data.gov.bc.ca/dataset/88e61a14-19a0-46ab-bdae-f68401d3d0fb,,,,,,
,T,,Ecological Reserves,park_er,admin_area_sid,protected_lands_name,Protected,Protected,Protected,https://catalogue.data.gov.bc.ca/dataset/bc-parks-ecological-reserves-and-protected-areas,WHSE_TANTALIS.TA_PARK_ECORES_PA_SVW,,,PROTECTED_LANDS_DESIGNATION = 'ECOLOGICAL RESERVE',https://catalogue.data.gov.bc.ca/dataset/bc-parks-ecological-reserves-and-protected-areas,,union,"admin_area_sid,protected_lands_name",,Open Government License - British Columbia,
,T,,Provincial Parks,park_provincial,admin_area_sid,protected_lands_name,Protected,Protected,Protected,https://catalogue.data.gov.bc.ca/dataset/bc-parks-ecological-reserves-and-protected-areas,WHSE_TANTALIS.TA_PARK_ECORES_PA_SVW,,,PROTECTED_LANDS_DESIGNATION = 'PROVINCIAL PARK',https://catalogue.data.gov.bc.ca/dataset/bc-parks-ecological-reserves-and-protected-areas,,union,"admin_area_sid,protected_lands_name",,Open Government License - British Columbia,
,T,,Conservancies,park_conservancy,admin_area_sid,conservancy_area_name,Protected,Protected,Protected,https://catalogue.data.gov.bc.ca/dataset/tantalis-conservancy-areas,WHSE_TANTALIS.TA_CONSERVANCY_AREAS_SVW,,,,https://catalogue.data.gov.bc.ca/dataset/tantalis-conservancy-areas,,,,,Open Government License - British Columbia,
,T,,Protected Areas,park_protectedarea,admin_area_sid,protected_lands_name,Protected,Protected,Protected,https://catalogue.data.gov.bc.ca/dataset/bc-parks-ecological-reserves-and-protected-areas,WHSE_TANTALIS.TA_PARK_ECORES_PA_SVW,,,PROTECTED_LANDS_DESIGNATION = 'PROTECTED AREA',https://catalogue.data.gov.bc.ca/dataset/bc-parks-ecological-reserves-and-protected-areas,,union,"admin_area_sid,protected_lands_name",,Open Government License - British Columbia,
,T,,Recreation Area,park_recreationarea,admin_area_sid,protected_lands_name,Protected,Protected,Protected,https://catalogue.data.gov.bc.ca/dataset/bc-parks-ecological-reserves-and-protected-areas,WHSE_TANTALIS.TA_PARK_ECORES_PA_SVW,,,PROTECTED_LANDS_DESIGNATION = 'RECREATION AREA',https://catalogue.data.gov.bc.ca/dataset/bc-parks-ecological-reserves-and-protected-areas,,union,"admin_area_sid,protected_lands_name",,Open Government License - British Columbia,
,T,,Regional Parks,park_regional,,,Protected,Protected,Protected,,,,,PA_TYPE_CODE = 'REG',,,,,,,
1,,,"Conservation Lands, Administered Lands",private_conservation_lands_admin,conservation_land_id,site_name,High,Low,Low,https://catalogue.data.gov.bc.ca/dataset/conservation-lands,WHSE_LEGAL_ADMIN_BOUNDARIES.WCL_CONSERVATION_LANDS_SP,,,CONSERVATION_LAND_TYPE = 'Administered Lands',https://catalogue.data.gov.bc.ca/dataset/conservation-lands,http://www.env.gov.bc.ca/fw/habitat/conservation-lands/,,,,Open Government License - British Columbia,Treated same as WMA
2,,,Wildlife Management Areas,wildlife_management_area,conservation_land_id,site_name,High,Low,Low,https://catalogue.data.gov.bc.ca/dataset/conservation-lands,WHSE_LEGAL_ADMIN_BOUNDARIES.WCL_CONSERVATION_LANDS_SP,,,CONSERVATION_LAND_TYPE = 'Wildlife Management Areas',https://catalogue.data.gov.bc.ca/dataset/conservation-lands,,,,,Open Government License - British Columbia,"Under the bc laws, reference to comply with O&G and mining although requires compliance ? Not sure how to interpret this? Low? Listed as Medium influence on OG and Mining on internal review document"
3,,,Creston Valley Wildlife Management Area,creston_valley_wma,admin_area_sid,wildlife_management_area_name,Full,Full,Full,https://catalogue.data.gov.bc.ca/dataset/tantalis-wildlife-management-areas,WHSE_TANTALIS.TA_WILDLIFE_MGMT_AREAS_SVW,,,ADMIN_AREA_SID = 5364,https://catalogue.data.gov.bc.ca/dataset/tantalis-wildlife-management-areas,,,,Not administered by the Conservation Lands program,Open Government License - British Columbia,forestry not specified but direct reference to oil and gas and mining
